"","Country.Name","Country.Code","variable","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)","Births attended by skilled health staff (% of total)","CO2 emissions (metric tons per capita)","Contraceptive prevalence, any methods (% of women ages 15-49)","Domestic credit provided by financial sector (% of GDP)","Electric power consumption (kWh per capita)","Energy use (kg of oil equivalent per capita)","Exports of goods and services (% of GDP)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","Forest area (sq. km)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Gross capital formation (% of GDP)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Income share held by lowest 20%","Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000 live births)","Net barter terms of trade index (2000 = 100)","Net migration","Net official development assistance and official aid received (current US$)","Personal remittances, received (current US$)","Population density (people per sq. km of land area)","Population growth (annual %)","Population, total","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Poverty headcount ratio at national poverty lines (% of population)","Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","Revenue, excluding grants (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)","Statistical Capacity score (Overall average)","Surface area (sq. km)","Tax revenue (% of GDP)","Terrestrial and marine protected areas (% of total territorial area)","Time required to start a business (days)","Total debt service (% of exports of goods, services and primary income)","Urban population growth (annual %)"
"1","Argentina","ARG",2009,63.1896,5.27362346890139,NA,97.9,4.44538780283611,NA,25.24733072052,2730.12323163118,1865.33726382679,19.5609850560818,133695121247.7,2.355,4017158924.88408,289140,332976484577.619,-5.91852507634947,7800,16240,315586430025.773,657382734889.175,16.0531123592112,9.07008573476773,96,14.4961418494061,4.1,25.2842047993735,15.3776493708921,75.116,28.36776900922,0.886508576686385,129.6422074,14.9,140.6669809,NA,113670000,628542376.088907,14.7926100508278,0.99954473407156,40482788,2.5,NA,0.4,NA,103.30387,20.1360210279783,117.90598,1.04754,96.61971,87.7777777777778,2780400,12.3830415594157,NA,25,21.1725855859086,1.17722724168998
"2","Argentina","ARG",2010,63.3154,7.13216745078964,NA,94.97,4.60716374803428,NA,24.9211841498421,2877.65265331343,1928.65235658729,18.9338234053709,126642436908.2,2.346,11332718626.4345,285960,423627422092.49,10.1253981561002,9270,17890,378241273935.818,729853440297.525,17.7055338062046,7.74779626704759,95,16.0371898581987,4.1,25.2587762576722,20.915124272047,75.278,29.5023394337096,0.814878105497939,139.580018,14.4,144.6497531,NA,128530000,644300740.057192,14.904301546759,0.752213052268901,40788453,2.2,NA,0.4,NA,103.5674,21.2413164267537,116.9758,1.03598,99.50126,86.6666666666667,2780400,12.8530426903256,NA,24.5,18.6426233354966,0.926281041121643
"3","Argentina","ARG",2011,63.4412,6.99873377022519,NA,97.14,4.64437307038597,NA,25.9830634761961,2929.07502855568,1952.05105293095,18.4492091453155,142884643038.3,2.338,10839930944.6815,282991.9921875,530163281574.658,6.00395169280579,10710,19250,442037545215.98,794325172722.152,18.39845891735,7.35437508072018,95,16.7569458546489,4.8,25.2126976058843,23.7034721839593,75.439,29.8719291780486,0.764287094036749,146.9554555,13.9,160.459876,NA,95180000,697379575.129916,15.0771515955406,1.15305928006388,41261490,0.9,NA,0.4,NA,103.8877,20.196408074281,115.6147,1.0402,101.535,85.5555555555555,2780400,12.6636277012315,NA,24.5,15.6550627866212,1.30814131603172
"4","Argentina","ARG",2012,63.567,5.7817442068501,12.9075342465753,98.2,4.60917985556416,55.4,30.0611634660132,3000.60352326565,1936.80353979442,16.2378594620246,139755161212.5,2.33,15323933916.8241,280024.00390625,545982375701.128,-1.02642045443208,11890,19300,496046283909.912,805324243203.253,16.5019865298875,6.6686104270513,94,14.2886829096862,5,24.4290570649122,22.3148806733049,75.598,27.0990432264413,0.784824721019786,154.059023,13.3,167.3631137,30000,177760000,577532962.100773,15.2495426957383,1.13690569378967,41733271,0.8,NA,0.4,NA,103.3522,21.182234604867,114.2272,1.03461,103.4765,85.5555555555555,2780400,12.9528415127413,NA,24.5,14.0601320892901,1.28077370283392
"5","Argentina","ARG",2013,63.41,6.05291843670451,NA,97.04,4.49853999490794,81.3,32.6410320868475,2967.37655805218,1967.02167752077,14.6171733884386,149693534483,2.322,9821661858.15874,277055.99609375,552025140252.246,2.40532378079436,12870,19930,543285805981.272,841055034254.999,17.3057789012596,7.47818132812086,94,14.7167556136651,5,24.0058814423072,23.9487984162746,75.756,27.2460417167365,0.837736430159436,159.6394613,12.6,156.3571727,NA,34730000,535004409.367289,15.421160233713,1.11910919999772,42202935,0.7,NA,0.4,NA,101.645,21.5652829643596,112.0119,1.03136,105.0414,76.6666666666667,2780400,12.4529027558077,NA,24.5,17.144794973003,1.25948243003778
"6","Argentina","ARG",2014,63.253,6.71270351428559,12.9075342465753,99.6,4.78150777487432,NA,34.0577525540757,3074.70207056563,2029.92282543737,14.4054785893756,153182419313.4,2.312,5065335541.96486,274088.0078125,526319673731.638,-2.51261532081396,12350,19600,526784533342.356,836246704581.861,17.2628810064651,7.07480375467349,95,14.0013150558519,5,24.2773944936602,40.2829716315506,75.913,25.4864119079835,0.878100919364039,143.6158316,12,153.3167019,NA,48790000,505346891.730357,15.5916453818299,1.09946109101833,42669500,0.7,NA,0.4,NA,103.1064,22.3322943705014,111.4597,1.03123,106.0356,83.3333333333333,2780400,12.6109666067191,NA,24.5,20.1693205373148,1.2396386789085
"7","Argentina","ARG",2015,63.096,5.1566859021408,NA,99.6,NA,NA,40.0918095238928,NA,NA,10.7056520504538,176574971030.3,2.301,11758994011.286,271120,594749285413.212,2.73115982828946,12600,20170,543279945585.475,869846606662.209,17.0707048841583,9.26893795047756,89,11.7805740385254,NA,23.153056135905,26.5799916024707,76.068,19.6703052646326,0.850128583186764,143.566834,11.5,146.0703277,NA,-18870000,494433532.139966,15.7606327351655,1.07800134449604,43131966,NA,NA,0.4,NA,102.9737,22.1490803040164,111.3034,1.02838,106.9465,95.5555666666667,2780400,12.3365069418291,NA,24.5,24.7331480336895,1.21579706300955
"8","Argentina","ARG",2016,62.939,6.26456582010254,NA,NA,NA,NA,37.4890374553872,NA,NA,12.5270951690009,188757585369.4,2.288,3260164341.77393,268151.9921875,557531376217.967,-2.08032784377811,12220,19690,532589675300.734,858301788488.851,17.6632278606203,9.02016531819385,90,13.5667926798789,4.9,22.0541072112108,41.1193799882279,76.221,20.4045915355847,0.813140077928875,146.4538276,10.9,155.1966186,NA,2620000,391579047.663514,15.9281350828921,1.05718157762752,43590368,0.7,30.3,0.4,NA,103.8936,21.2567013071388,110.7392,1.02081,108.4623,88.8889,2780400,12.0972836411962,7.52859334896618,24.5,34.9080047911102,1.19260291906809
"9","Argentina","ARG",2017,62.782,5.47838222945344,NA,NA,NA,NA,38.3340366419125,NA,NA,11.2427213207093,236470523837.9,2.275,11516861462.2845,NA,642695864756.35,2.66859037935303,13120,20310,577966910660.886,894618626231.73,18.7572317129789,9.237250108472,89,13.9806106427674,5.1,21.8690650957909,26.0074831458529,76.372,19.5352120473962,0.856137916373543,140.8771235,10.4,150.6284221,24000,-4930000,449507238.435454,16.0941907925267,1.03713389686514,44044811,0.5,25.7,0.4,NA,99.96276,19.3651896285052,109.7415,1.01963,108.7336,85.5555666666667,2780400,10.9555014904363,7.40512875012761,24.5,51.5868149271809,1.17019595911431
"10","Argentina","ARG",2018,NA,6.09712894763666,NA,NA,NA,NA,NA,NA,NA,14.2805176122688,280515652318.5,NA,11872856662.7649,NA,519871519807.795,-2.48179244509274,12390,19870,551170581779.708,884194525767.263,20.9658376303454,5.33428840592799,94,16.4199284119137,NA,22.9672773382624,40.7027906889545,NA,24.4412311809228,0.854560979237316,132.0931513,9.9,157.7581607,NA,NA,507477468.124486,16.2585100979651,1.01580834908004,44494502,NA,32,0.4,NA,NA,NA,NA,NA,NA,78.8889,2780400,NA,7.40512875012761,11,45.0412274988796,1.14760215897919
