"","war","deathrange","date","combatants","location","notes","geom_mean"
"114","Ethnic conflict in Nagaland","34,000+","1954–present","India and Myanmar vs. Naga People","Northeast India","[77]",34000
"115","Vietnam War","2,400,000–4,300,000","1955–1975","South Vietnam and allies vs. North Vietnam and allies","Vietnam","[78][79][80] – Also known as the Second Indochina War",3144837
"116","First Sudanese Civil War","500,000+","1955–1972","Sudan vs. South Sudanese Rebels","Sudan","",5e+05
"117","Congo Crisis","100,000+","1960–1965","DRC, USA, and Belgium vs. Simba and Kwilu Rebels","Congo","[81]",1e+05
"118","Angolan War of Independence","82,991–102,991","1961–1974","Angola vs. Portugal and South Africa","Angola","",92452
"119","North Yemen Civil War","100,000–200,000","1962–1970","Kingdom of Yemen and Saudi Arabia vs. Yemen Arab Republic and United Arab Republic","Yemen","[82]",141421
"120","Mozambican War of Independence","63,500–88,500","1964–1974","FRELIMO vs. Portugal","Mozambique","[83]",74965
"121","Insurgency in Northeast India","25,000+","1964–present","India and allies vs. Insurgent Groups","Northeast India","[73]",25000
"122","Colombian conflict","220,000+","1964–present","Colombia and allies vs. Far Left guerillas and Far Right paramilitares","Colombia","[84]",220000
"123","Nigerian Civil War","1,000,000-3,000,000","1967–1970","Nigeria vs. Biafra","Nigeria","– Also known as the Biafran War",1732051
"124","Moro Conflict","120,000+","1969–2019","Philippines vs. Jihadist Groups vs. Bangsamoro","Philippines","[85]",120000
"125","CPP-NPA-NDF rebellion","30,000–43,000","1969–present","Philippines vs. Communist Party of the Philippines","Philippines","[86]",35917
"126","Bangladesh Liberation War","3,000,000+","1971","India and Bangladesh vs. Pakistan","Bangladesh","[87] – Also known as the Bangladesh War of Independence",3e+06
"127","Ethiopian Civil War","500,000–1,500,000","1974–1991","Derg, PEDR, and Cuba vs. Anti-Communist rebel groups","Ethiopia","",866025
"128","Angolan Civil War","504,158+","1975–2002","MPLA vs. UNITA","Angola","",504158
"129","Lebanese Civil War","120,000–150,000","1975–1990","various groups","Lebanon","",134164
"130","Insurgency in Laos","100,000+","1975–2007","Laos and Vietnam vs. ""Secret army"" and Hmong people","Laos","[88]",1e+05
"131","War in Afghanistan","1,240,000–2,000,000","1978–present","see War in Afghanistan","Afghanistan","[89]",1574802
"132","Kurdish–Turkish conflict","45,000+","1978–present","Turkey vs. KCK","Middle East","[90] – Part of the Kurdish rebellions in Turkey",45000
"133","Soviet–Afghan War","600,000–2,000,000","1979–1989","Soviet Union and Afghanistan vs. Insurgent groups","Afghanistan","[91][92][93]  – Part of War in Afghanistan",1095445
"134","Iran–Iraq War","289,220–1,100,000","1980–1988","Iran and allies vs. Iraq and allies","Middle East","",564041
"135","Internal conflict in Peru","70,000+","1980–present","Peru vs. PCP-SL and MRTA","Peru","[94]",70000
"136","Ugandan Bush War","100,000–500,000","1981–1986","ULNF and Tanzania vs. National Resistance Army","Uganda","[95][96] – Also known as the Luwero War",223607
"137","Second Sudanese Civil War","1,000,000–2,000,000","1983–2005","Sudan vs. South Sudanese rebels","Sudan","",1414214
"138","Sri Lankan Civil War","80,000–100,000","1983–2009","Sri Lanka vs. Tamil Tigers","Sri Lanka","[97]",89443
"139","Somali Civil War","300,000–500,000","1986–present","Varying Somali governments vs. insurgent groups","Somalia","[98][99]",387298
"140","Lord's Resistance Army insurgency","100,000–500,000","1987–present","Lord's Resistance Army vs. Central African states","Central Africa","[100]",223607
"141","Nagorno-Karabakh War","38,000+","1988–1994","Artsakh and Armenia vs. Azerbaijan and allies","Caucasus region","– Also known as the Artsakh Liberation War",38000
"142","Gulf War","25,456–40,456","1990–1991","Iraq vs. Coalition Forces","Iraq","– Also known as the First Iraq War",32091
"143","Algerian Civil War","44,000–200,000","1991–2002","Algeria vs. FIS loyalists vs. GIA","Algeria","[101]",93808
"144","Bosnian War","97,214–104,732","1991–1995","Bosnia and Herzegovinian governments and allies vs. Republika Srpska and allies","Bosnia","",100903
"145","1991 Iraqi coup d'état attempt","85,000–235,000","1991","Iraq vs various rebels","Iraq","[102][103][104] – Also known as the Sha'aban Intifada",141333
"146","Sierra Leone Civil War","50,000-300,000","1991-2002","see Sierra Leone Civil War","Sierra Leone","",122474
"147","Burundian Civil War","300,000+","1993–2005","Burundi vs. Hutu rebels vs. Tutsi rebels","Burundi","[105]",3e+05
"148","Rwandan genocide","800,000","April – July 1994","Hutu people vs. Tutsi Rebels","Rwanda","[106]",8e+05
"149","First Congo War","250,000–800,000","1996–1997","Zaire and allies vs. AFDL and allies","Congo","",447214
"150","Second Congo War","2,500,000–5,400,000","1998–2003","See Second Congo War","Central Africa","[107][108][109][110] – Also known as the Great War of Africa",3674235
"151","Ituri conflict","60,000+","1999–2003","Lendu Tribe vs. Hemu Tribe and allies","Congo","[111] – Part of the Second Congo War",60000
"152","War on Terror","272,000–1,260,000","2001–present","Anti-Terrorist Forces vs. Terrorist groups","Worldwide","[112][113][114][115] – Also known as the Global War on Terrorism",585423
"153","War in Afghanistan (2001–present)","47,246–61,603","2001–present","see War in Afghanistan (2001–present)","Afghanistan","[113] – Part of the War on Terror and War in Afghanistan",53949
"154","Iraq War","151,000-461,000","2003–2011","See Iraq War","Iraq","[114][115][113] – Also known as the Second Gulf War
– Part of the War on Terror
See: Casualties of the Iraq War",190000
"155","War in Darfur","300,000+","2003–present","SRF and allies vs. Sudan and allies vs. UNAMID","Sudan","[116]",3e+05
"156","Kivu Conflict","100,000+","2004–present","see Kivu Conflict","Congo","– Part of the Second Congo War",1e+05
"157","War in North-West Pakistan","45,852–78,946","2004–present","Pakistan, USA, and UK vs. Terrorist groups","Pakistan","[113] – Also known as the War in Waziristan
– Part of the War on Terror and War in Afghanistan (2001–present)",60165
"158","Mexican Drug War","150,000-250,000","2006–present","Mexico vs. Drug cartels","Mexico","[117][118] – Also known as the Mexican War on Drugs",2e+05
"159","Boko Haram insurgency","51,567+","2009–present","Multinational Joint Task Force vs. Boko Haram","Nigeria","2,400,000 internally displaced",51567
"160","Syrian Civil War","570,000+","2011–present","Syrian Arab Republic vs. Republic of Syria vs. ISIL vs. Syrian Democratic Forces","Syria","See: Casualties of the Syrian civil war",570000
"161","Iraqi Civil War (2014–2017)","195,000-200,000+","2014–2017","Iraq and allies vs. ISIL","Iraq","",197500
"162","Yemeni Civil War","91,600+","2015-present","Yemen’s Supreme Political Council Vs Hadi Government and Saudi-led Coalition","Yemen","",91600
